time_index,year,EXPORT_GOODS_TOTAL_bln_usd,GDP_bln_rub,GDP_yoy,GOV_EXPENSE_ACCUM_CONSOLIDATED_bln_rub,GOV_EXPENSE_ACCUM_FEDERAL_bln_rub,GOV_EXPENSE_ACCUM_SUBFEDERAL_bln_rub,GOV_REVENUE_ACCUM_CONSOLIDATED_bln_rub,GOV_REVENUE_ACCUM_FEDERAL_bln_rub,GOV_REVENUE_ACCUM_SUBFEDERAL_bln_rub,GOV_SURPLUS_ACCUM_FEDERAL_bln_rub,GOV_SURPLUS_ACCUM_SUBFEDERAL_bln_rub,IMPORT_GOODS_TOTAL_bln_usd,IND_PROD_yoy,RETAIL_SALES_FOOD_bln_rub,RETAIL_SALES_FOOD_yoy,RETAIL_SALES_NONFOODS_bln_rub,RETAIL_SALES_NONFOODS_yoy,RETAIL_SALES_bln_rub,RETAIL_SALES_yoy
1999-12-31,1999,75.6,4823.0,106.4,1258.0,666.9,653.8,1213.6,615.5,660.8,-51.4,7.0,39.5,,866.1,93.6,931.3,94.7,1797.4,94.2
2000-12-31,2000,105.0,7306.0,110.0,1960.1,1029.2,1032.1,2097.7,1132.1,1065.8,102.9,33.8,44.9,,1093.2,107.5,1259.1,110.5,2352.3,109.0
2001-12-31,2001,101.9,8944.0,105.1,2419.4,1321.9,1330.2,2683.7,1594.0,1322.4,272.1,-7.8,53.8,,1416.8,107.6,1653.2,113.9,3070.0,111.0
2002-12-31,2002,107.3,10819.0,104.7,3422.3,2054.2,1687.2,3519.2,2204.7,1633.6,150.5,-53.6,61.0,103.1,1753.9,110.1,2011.5,108.6,3765.4,109.3
2003-12-31,2003,135.9,13208.0,107.3,3964.9,2358.6,1984.3,4138.7,2586.2,1930.5,227.6,-53.8,76.1,108.9,2091.7,107.7,2438.0,109.7,4529.7,108.8
2004-12-31,2004,183.2,17027.0,107.2,4669.7,2698.9,2373.0,5429.9,3428.9,2403.2,730.0,30.2,97.4,108.0,2580.3,111.4,3062.2,115.1,5642.5,113.3
2005-12-31,2005,243.8,21610.0,106.4,6820.6,3514.3,2941.2,8579.6,5127.2,2999.9,1612.9,58.7,125.4,105.1,3217.6,110.5,3823.9,115.1,7041.5,112.8
2006-12-31,2006,303.6,26917.0,108.2,8375.2,4284.8,3657.7,10625.8,6278.9,3797.3,1994.1,139.6,164.3,106.3,3947.4,111.0,4764.5,116.8,8711.9,114.1
2007-12-31,2007,354.4,33248.0,108.5,11378.6,5986.6,4790.5,13368.3,7781.1,4828.5,1794.6,38.0,223.5,106.8,4891.4,112.6,5977.6,119.1,10869.0,116.1
2008-12-31,2008,471.6,41429.0,105.2,13991.8,7570.9,6253.1,16003.9,9275.9,6198.8,1705.1,-54.4,291.9,100.6,6484.7,109.1,7436.0,117.2,13920.7,113.5
2009-12-31,2009,303.4,39101.0,92.1,16048.3,9660.1,6255.7,13599.7,7337.8,5926.6,-2322.3,-329.1,191.8,90.7,7103.8,98.4,7498.7,92.0,14602.5,95.1
