year,EXPORT_GOODS_TOTAL__bln_usd,EXPORT_GOODS_TOTAL__yoy,GDP__bln_rub,GDP__yoy,GOV_EXPENSE_ACCUM_CONSOLIDATED__bln_rub,GOV_EXPENSE_ACCUM_FEDERAL__bln_rub,GOV_EXPENSE_ACCUM_SUBFEDERAL__bln_rub,GOV_REVENUE_ACCUM_CONSOLIDATED__bln_rub,GOV_REVENUE_ACCUM_FEDERAL__bln_rub,GOV_REVENUE_ACCUM_SUBFEDERAL__bln_rub,GOV_SURPLUS_ACCUM_FEDERAL__bln_rub,GOV_SURPLUS_ACCUM_SUBFEDERAL__bln_rub,IMPORT_GOODS_TOTAL__bln_usd,IMPORT_GOODS_TOTAL__yoy,IND_PROD__yoy,RETAIL_SALES_FOOD__bln_rub,RETAIL_SALES_FOOD__yoy,RETAIL_SALES_NONFOODS__bln_rub,RETAIL_SALES_NONFOODS__yoy,RETAIL_SALES__bln_rub,RETAIL_SALES__yoy
1999,75.6,101.5,4823.0,106.4,1258.0,666.9,653.8,1213.6,615.5,660.8,-51.4,7.0,39.5,68.1,,866.1,93.6,931.3,94.7,1797.4,94.2
2000,105.0,139.0,7306.0,110.0,1960.1,1029.2,1032.1,2097.7,1132.1,1065.8,102.9,33.8,44.9,113.5,,1093.2,107.5,1259.1,110.5,2352.3,109.0
2001,101.9,97.0,8944.0,105.1,2419.4,1321.9,1330.2,2683.7,1594.0,1322.4,272.1,-7.8,53.8,119.8,,1416.8,107.6,1653.2,113.9,3070.0,111.0
2002,107.3,105.3,10819.0,104.7,3422.3,2054.2,1687.2,3519.2,2204.7,1633.6,150.5,-53.6,61.0,113.4,103.1,1753.9,110.1,2011.5,108.6,3765.4,109.3
2003,135.9,126.7,13208.0,107.3,3964.9,2358.6,1984.3,4138.7,2586.2,1930.5,227.6,-53.8,76.1,124.8,108.9,2091.7,107.7,2438.0,109.7,4529.7,108.8
2004,183.2,134.8,17027.0,107.2,4669.7,2698.9,2373.0,5429.9,3428.9,2403.2,730.0,30.2,97.4,128.0,108.0,2580.3,111.4,3062.2,115.1,5642.5,113.3
2005,243.8,133.1,21610.0,106.4,6820.6,3514.3,2941.2,8579.6,5127.2,2999.9,1612.9,58.7,125.4,128.8,105.1,3217.6,110.5,3823.9,115.1,7041.5,112.8
2006,303.6,124.5,26917.0,108.2,8375.2,4284.8,3657.7,10625.8,6278.9,3797.3,1994.1,139.6,164.3,131.0,106.3,3947.4,111.0,4764.5,116.8,8711.9,114.1
2007,354.4,116.8,33248.0,108.5,11378.6,5986.6,4790.5,13368.3,7781.1,4828.5,1794.6,38.0,223.5,136.0,106.8,4891.4,112.6,5977.6,119.1,10869.0,116.1
2008,471.6,133.1,41277.0,105.2,13991.8,7570.9,6253.1,16003.9,9275.9,6198.8,1705.1,-54.4,291.9,130.6,100.6,6486.6,111.5,7438.3,115.1,13924.9,113.6
2009,303.4,64.3,38809.0,92.2,16048.3,9660.1,6255.7,13599.7,7337.8,5926.6,-2322.3,-329.1,191.8,65.7,90.7,7091.2,98.2,7493.5,91.8,14584.7,94.9
2010,400.4,132.0,45166.0,104.3,17616.7,10117.5,6636.9,16031.9,8305.4,6537.3,-1812.0,-99.6,248.7,129.7,108.2,7996.7,105.1,8471.9,107.6,16468.6,106.3
2011,522.0,130.4,54369.0,104.3,20004.8,10935.2,7679.3,20853.7,11366.0,7643.9,430.8,-35.4,323.2,129.9,104.7,9121.0,103.6,9954.0,110.7,19075.0,107.2
