time_index,year,month,EXPORT_GOODS_TOTAL_bln_usd,EXPORT_GOODS_TOTAL_rog,EXPORT_GOODS_TOTAL_yoy,GOV_EXPENSE_ACCUM_CONSOLIDATED_bln_rub,GOV_EXPENSE_ACCUM_FEDERAL_bln_rub,GOV_EXPENSE_ACCUM_SUBFEDERAL_bln_rub,GOV_REVENUE_ACCUM_CONSOLIDATED_bln_rub,GOV_REVENUE_ACCUM_FEDERAL_bln_rub,GOV_REVENUE_ACCUM_SUBFEDERAL_bln_rub,GOV_SURPLUS_ACCUM_FEDERAL_bln_rub,GOV_SURPLUS_ACCUM_SUBFEDERAL_bln_rub,IMPORT_GOODS_TOTAL_bln_usd,IMPORT_GOODS_TOTAL_rog,IMPORT_GOODS_TOTAL_yoy,IND_PROD_rog,IND_PROD_yoy,IND_PROD_ytd,RETAIL_SALES_FOOD_bln_rub,RETAIL_SALES_FOOD_rog,RETAIL_SALES_FOOD_yoy,RETAIL_SALES_NONFOODS_bln_rub,RETAIL_SALES_NONFOODS_rog,RETAIL_SALES_NONFOODS_yoy,RETAIL_SALES_bln_rub,RETAIL_SALES_rog,RETAIL_SALES_yoy
1999-01-31,1999,1,4.5,63.7,79.0,45.6,27.4,22.7,49.0,27.8,25.7,0.4,3.0,2.7,77.0,47.8,,,,60.3,82.5,90.3,61.5,81.0,79.0,121.8,81.7,84.0
1999-02-28,1999,2,4.9,109.5,86.8,103.1,61.0,49.2,99.3,54.7,51.7,-6.3,2.5,3.0,109.7,50.3,,,,60.7,96.5,93.7,62.2,97.4,85.4,122.9,96.9,89.2
1999-03-31,1999,3,5.8,118.3,89.0,189.0,108.3,91.5,171.9,89.1,93.6,-19.2,2.1,3.5,117.6,54.7,,,,65.8,105.5,94.1,68.5,106.6,89.1,134.3,106.0,91.4
1999-04-30,1999,4,6.6,112.4,106.4,285.5,160.1,138.7,264.0,133.9,143.4,-26.2,4.7,3.3,94.5,54.2,,,,66.2,98.1,90.6,69.2,97.1,87.5,135.4,97.6,88.9
1999-05-31,1999,5,5.1,78.3,84.9,380.8,213.4,185.0,349.9,173.7,193.8,-39.7,8.8,2.9,87.8,51.0,,,,68.6,101.6,91.8,70.3,98.9,87.8,138.9,100.2,89.7
1999-06-30,1999,6,5.4,105.1,83.8,486.8,272.1,240.0,448.6,226.6,247.3,-45.5,7.3,4.0,137.3,69.3,,,,69.5,99.6,92.4,72.7,101.8,90.3,142.2,100.7,91.3
1999-07-31,1999,7,6.3,116.4,94.4,588.6,328.9,288.5,550.7,282.1,297.4,-46.8,8.9,3.2,81.9,58.9,,,,71.6,99.8,90.1,74.2,100.1,88.4,145.8,100.0,89.2
1999-08-31,1999,8,6.2,98.2,99.8,694.4,381.7,345.5,658.7,334.3,356.7,-47.4,11.2,3.1,96.0,63.4,,,,74.0,102.9,88.5,83.6,110.0,89.0,157.6,106.5,88.8
1999-09-30,1999,9,6.4,104.4,101.5,795.8,434.2,400.6,759.3,387.3,411.0,-46.9,10.4,3.1,100.9,103.5,,,,77.0,103.2,89.1,84.2,98.2,95.0,161.2,100.5,92.2
1999-10-31,1999,10,7.0,108.4,119.0,897.8,488.8,454.0,868.1,445.6,467.5,-43.2,13.5,3.4,107.7,115.7,,,,79.1,101.8,94.8,88.0,102.4,108.4,167.1,102.1,101.9
1999-11-30,1999,11,7.6,109.0,132.3,1016.3,540.5,528.0,1006.4,514.9,543.7,-25.6,15.7,3.5,102.5,117.7,,,,79.1,99.1,94.3,91.1,101.8,109.0,170.2,100.5,101.9
