time_index,year,EXPORT_GOODS_TOTAL_bln_usd,EXPORT_GOODS_TOTAL_yoy,GDP_bln_rub,GDP_yoy,GOV_EXPENSE_ACCUM_CONSOLIDATED_bln_rub,GOV_EXPENSE_ACCUM_FEDERAL_bln_rub,GOV_EXPENSE_ACCUM_SUBFEDERAL_bln_rub,GOV_REVENUE_ACCUM_CONSOLIDATED_bln_rub,GOV_REVENUE_ACCUM_FEDERAL_bln_rub,GOV_REVENUE_ACCUM_SUBFEDERAL_bln_rub,GOV_SURPLUS_ACCUM_FEDERAL_bln_rub,GOV_SURPLUS_ACCUM_SUBFEDERAL_bln_rub,IMPORT_GOODS_TOTAL_bln_usd,IMPORT_GOODS_TOTAL_yoy,IND_PROD_yoy,RETAIL_SALES_FOOD_bln_rub,RETAIL_SALES_FOOD_yoy,RETAIL_SALES_NONFOODS_bln_rub,RETAIL_SALES_NONFOODS_yoy,RETAIL_SALES_bln_rub,RETAIL_SALES_yoy
1999-12-31,1999,75.6,101.5,4823.0,106.4,1258.0,666.9,653.8,1213.6,615.5,660.8,-51.4,7.0,39.5,68.1,,866.1,93.6,931.3,94.7,1797.4,94.2
2000-12-31,2000,105.0,139.0,7306.0,110.0,1960.1,1029.2,1032.1,2097.7,1132.1,1065.8,102.9,33.8,44.9,113.5,,1093.2,107.5,1259.1,110.5,2352.3,109.0
2001-12-31,2001,101.9,97.0,8944.0,105.1,2419.4,1321.9,1330.2,2683.7,1594.0,1322.4,272.1,-7.8,53.8,119.8,,1416.8,107.6,1653.2,113.9,3070.0,111.0
2002-12-31,2002,107.3,105.3,10831.0,104.7,3422.3,2054.2,1687.2,3519.2,2204.7,1633.6,150.5,-53.6,61.0,113.4,103.1,1753.9,110.1,2011.5,108.6,3765.4,109.3
2003-12-31,2003,135.9,126.7,13208.0,107.3,3964.9,2358.6,1984.3,4138.7,2586.2,1930.5,227.6,-53.8,76.1,124.8,108.9,2091.7,107.7,2438.0,109.7,4529.7,108.8
2004-12-31,2004,183.2,134.8,17027.0,107.2,4669.7,2698.9,2373.0,5429.9,3428.9,2403.2,730.0,30.2,97.4,128.0,108.0,2580.3,111.4,3062.2,115.1,5642.5,113.3
2005-12-31,2005,240.0,131.0,21610.0,106.4,6820.6,3514.3,2941.2,8579.6,5127.2,2999.9,1612.9,58.7,123.8,127.2,105.1,3217.6,110.5,3823.9,115.1,7041.5,112.8
2006-12-31,2006,297.5,123.9,26917.0,108.2,8375.2,4284.8,3657.7,10625.8,6278.9,3797.3,1994.1,139.6,163.2,131.8,106.3,3947.4,111.0,4764.5,116.8,8711.9,114.1
2007-12-31,2007,346.5,116.5,33248.0,108.5,11378.6,5986.6,4790.5,13368.3,7781.1,4828.5,1794.6,38.0,223.1,136.7,106.8,4891.4,112.6,5977.6,119.1,10869.0,116.1
2008-12-31,2008,466.3,134.6,41277.0,105.2,13991.8,7570.9,6253.1,16003.9,9275.9,6198.8,1705.1,-54.4,288.7,129.4,100.6,6495.7,111.7,7448.5,115.3,13944.2,113.7
2009-12-31,2009,297.2,63.7,38807.0,92.2,16048.3,9660.1,6255.7,13599.7,7337.8,5926.6,-2322.3,-329.1,183.9,63.7,89.3,7097.1,98.1,7502.1,91.8,14599.2,94.9
2010-12-31,2010,392.7,132.1,46308.0,104.5,17616.7,10117.5,6636.9,16031.9,8305.4,6537.3,-1812.0,-99.6,245.7,133.6,107.3,8002.2,105.1,8509.8,108.0,16512.0,106.5
2011-12-31,2011,515.4,131.3,55967.0,104.3,19994.6,10925.6,7679.1,20855.4,11367.7,7644.2,442.0,-34.9,318.6,129.7,105.0,9104.3,103.4,10000.0,110.8,19104.3,107.1
2012-12-31,2012,527.4,102.3,62218.0,103.4,23174.7,12895.0,8343.2,23435.1,12855.5,8064.5,-39.4,-278.7,335.8,105.4,103.4,9961.4,103.6,11433.1,108.6,21394.5,106.3
2013-12-31,2013,523.3,99.2,66755.0,101.3,25290.9,13342.9,8806.6,24442.7,13019.9,8165.1,-323.0,-641.5,343.0,102.1,100.4,11143.0,102.6,12542.9,104.9,23685.9,103.9
