time_index,year,month,EXPORT_GOODS_TOTAL__bln_usd,EXPORT_GOODS_TOTAL__rog,EXPORT_GOODS_TOTAL__yoy,GOV_EXPENSE_ACCUM_CONSOLIDATED__bln_rub,GOV_EXPENSE_ACCUM_FEDERAL__bln_rub,GOV_EXPENSE_ACCUM_SUBFEDERAL__bln_rub,GOV_REVENUE_ACCUM_CONSOLIDATED__bln_rub,GOV_REVENUE_ACCUM_FEDERAL__bln_rub,GOV_REVENUE_ACCUM_SUBFEDERAL__bln_rub,GOV_SURPLUS_ACCUM_FEDERAL__bln_rub,GOV_SURPLUS_ACCUM_SUBFEDERAL__bln_rub,IMPORT_GOODS_TOTAL__bln_usd,IMPORT_GOODS_TOTAL__rog,IMPORT_GOODS_TOTAL__yoy,IND_PROD__rog,IND_PROD__yoy,IND_PROD__ytd
1999-01-31,1999,1,4.5,63.7,79.0,45.6,27.4,22.7,49.0,27.8,25.7,0.4,3.0,2.7,77.0,47.8,,,
1999-02-28,1999,2,4.9,109.5,86.8,103.1,61.0,49.2,99.3,54.7,51.7,-6.3,2.5,3.0,109.7,50.3,,,
1999-03-31,1999,3,5.8,118.3,89.0,189.0,108.3,91.5,171.9,89.1,93.6,-19.2,2.1,3.5,117.6,54.7,,,
1999-04-30,1999,4,6.6,112.4,106.4,285.5,160.1,138.7,264.0,133.9,143.4,-26.2,4.7,3.3,94.5,54.2,,,
1999-05-31,1999,5,5.1,78.3,84.9,380.8,213.4,185.0,349.9,173.7,193.8,-39.7,8.8,2.9,87.8,51.0,,,
1999-06-30,1999,6,5.4,105.1,83.8,486.8,272.1,240.0,448.6,226.6,247.3,-45.5,7.3,4.0,137.3,69.3,,,
1999-07-31,1999,7,6.3,116.4,94.4,588.6,328.9,288.5,550.7,282.1,297.4,-46.8,8.9,3.2,81.9,58.9,,,
1999-08-31,1999,8,6.2,98.2,99.8,694.4,381.7,345.5,658.7,334.3,356.7,-47.4,11.2,3.1,96.0,63.4,,,
1999-09-30,1999,9,6.4,104.4,101.5,795.8,434.2,400.6,759.3,387.3,411.0,-46.9,10.4,3.1,100.9,103.5,,,
1999-10-31,1999,10,7.0,108.4,119.0,897.8,488.8,454.0,868.1,445.6,467.5,-43.2,13.5,3.4,107.7,115.7,,,
1999-11-30,1999,11,7.6,109.0,132.3,1016.3,540.5,528.0,1006.4,514.9,543.7,-25.6,15.7,3.5,102.5,117.7,,,
1999-12-31,1999,12,9.7,127.9,137.5,1258.0,666.9,653.8,1213.6,615.5,660.8,-51.4,7.0,4.0,115.3,114.3,,,
2000-01-31,2000,1,6.8,69.9,150.9,82.9,52.8,34.4,102.0,64.9,41.4,12.1,7.0,2.9,72.4,107.4,,,
2000-02-29,2000,2,8.0,116.9,161.2,184.8,111.2,82.3,217.4,138.3,87.8,27.1,5.5,3.4,118.7,116.2,,,
2000-03-31,2000,3,9.1,115.0,156.7,330.2,191.5,154.7,366.5,221.8,160.7,30.3,6.0,3.7,106.8,105.6,,,
2000-04-30,2000,4,8.3,90.3,125.9,470.0,261.2,230.1,535.0,314.0,242.3,52.8,12.2,3.4,92.5,103.3,,,
2000-05-31,2000,5,8.5,102.6,165.0,609.5,333.9,311.6,717.7,415.5,338.2,81.6,26.6,3.4,100.5,118.2,,,
2000-06-30,2000,6,8.7,103.1,161.9,760.9,405.4,402.7,887.8,507.7,427.3,102.3,24.6,3.6,105.6,90.9,,,
2000-07-31,2000,7,8.6,98.2,136.6,895.4,473.3,478.0,1045.9,596.1,505.7,122.8,27.7,3.6,100.3,111.2,,,
2000-08-31,2000,8,9.1,106.2,147.7,1058.3,556.0,565.1,1232.3,693.0,602.1,137.0,37.0,3.8,104.8,121.4,,,
2000-09-30,2000,9,9.0,98.3,139.1,1204.8,632.2,642.3,1395.9,783.2,682.4,151.0,40.1,3.8,99.3,119.5,,,
2000-10-31,2000,10,8.9,99.4,127.5,1353.1,710.2,720.9,1567.5,880.4,765.1,170.2,44.2,4.1,110.2,122.3,,,
2000-11-30,2000,11,10.1,113.0,132.1,1536.3,800.0,823.0,1785.0,990.7,881.0,190.7,58.0,4.4,105.3,125.7,,,
2000-12-31,2000,12,10.1,100.5,103.9,1960.1,1029.2,1032.1,2097.7,1132.1,1065.8,102.9,33.8,4.9,112.4,122.5,,,
2001-01-31,2001,1,8.4,82.8,123.0,97.9,60.6,56.0,151.1,94.6,75.2,34.0,19.2,3.2,66.1,112.0,,,
2001-02-28,2001,2,8.2,98.6,103.7,267.0,170.4,130.3,316.5,200.1,150.1,29.7,19.8,3.7,115.9,109.3,,,
