,year,AGROPROD_yoy,CPI_ALCOHOL_rog,CPI_FOOD_rog,CPI_NONFOOD_rog,CPI_SERVICES_rog,CPI_rog,EXPORT_GOODS_bln_usd,GDP_bln_rub,GDP_yoy,GOV_EXPENSE_CONSOLIDATED_bln_rub,GOV_EXPENSE_FEDERAL_bln_rub,GOV_EXPENSE_SUBFEDERAL_bln_rub,GOV_REVENUE_CONSOLIDATED_bln_rub,GOV_REVENUE_FEDERAL_bln_rub,GOV_REVENUE_SUBFEDERAL_bln_rub,GOV_SURPLUS_FEDERAL_bln_rub,GOV_SURPLUS_SUBFEDERAL_bln_rub,IMPORT_GOODS_bln_usd,INDPRO_yoy,INVESTMENT_bln_rub,INVESTMENT_yoy,PPI_rog,RETAIL_SALES_FOOD_bln_rub,RETAIL_SALES_FOOD_yoy,RETAIL_SALES_NONFOOD_bln_rub,RETAIL_SALES_NONFOOD_yoy,RETAIL_SALES_bln_rub,RETAIL_SALES_yoy,TRANSPORT_FREIGHT_bln_tkm,UNEMPL_pct,WAGE_NOMINAL_rub,WAGE_REAL_yoy
1999-12-31,1999,103.80,143.20,135.00,139.20,134.00,136.50,75.60,4823.00,106.40,1258.00,666.90,653.80,1213.60,615.50,660.80,-51.40,7.00,39.50,,670.40,105.30,,866.10,93.60,931.30,94.70,1797.40,94.20,3372.00,13.00,1523.00,78.00
2000-12-31,2000,106.20,125.00,117.10,118.50,133.70,120.20,105.00,7306.00,110.00,1960.10,1029.20,1032.10,2097.70,1132.10,1065.80,102.90,33.80,44.90,,1165.20,117.40,,1093.20,107.50,1259.10,110.50,2352.30,109.00,3542.00,10.50,2223.00,120.90
2001-12-31,2001,106.90,112.60,117.80,112.70,136.90,118.60,101.90,8944.00,105.10,2419.40,1321.90,1330.20,2683.70,1594.00,1322.40,272.10,-7.80,53.80,,1504.70,111.70,,1416.80,107.60,1653.20,113.90,3070.00,111.00,3651.00,9.00,3240.00,119.90
2002-12-31,2002,100.90,108.90,111.30,110.90,136.20,115.10,107.30,10831.00,104.70,3422.30,2054.20,1687.20,3519.20,2204.70,1633.60,150.50,-53.60,61.00,,1762.40,102.90,,1753.90,110.10,2011.50,108.60,3765.40,109.30,3868.00,8.00,4360.00,116.20
2003-12-31,2003,99.90,109.90,110.20,109.20,122.30,112.00,135.90,13208.00,107.30,3964.90,2358.60,1984.30,4138.70,2586.20,1930.50,227.60,-53.80,76.10,,2186.40,112.70,,2091.70,107.70,2438.00,109.70,4529.70,108.80,4171.00,8.20,5499.00,110.90
2004-12-31,2004,102.40,108.70,113.00,107.40,117.70,111.70,183.20,17027.00,107.20,4669.70,2698.90,2373.00,5429.90,3428.90,2403.20,730.00,30.20,97.40,,2865.00,116.80,,2580.30,111.40,3062.20,115.10,5642.50,113.30,4441.00,7.70,6740.00,110.60
2005-12-31,2005,101.60,107.60,109.90,106.40,121.00,110.90,240.00,21610.00,106.40,6820.60,3514.30,2941.20,8579.60,5127.20,2999.90,1612.90,58.70,123.80,,3611.10,110.20,,3217.60,110.50,3823.90,115.10,7041.50,112.80,4550.00,7.10,8555.00,112.60
2006-12-31,2006,103.00,110.10,108.40,106.00,113.90,109.00,297.50,26917.00,108.20,8375.20,4284.80,3657.70,10625.80,6278.90,3797.30,1994.10,139.60,163.20,,4730.00,117.80,,3947.40,111.00,4764.50,116.80,8711.90,114.10,4675.00,7.00,10634.00,113.30
2007-12-31,2007,103.30,107.70,117.10,106.50,113.30,111.90,346.50,33248.00,108.50,11378.60,5986.60,4790.50,13368.30,7781.10,4828.50,1794.60,38.00,223.10,,6716.20,123.80,,4891.40,112.60,5977.60,119.10,10869.00,116.10,4788.00,6.00,13593.00,117.20
2008-12-31,2008,110.80,110.90,117.60,108.00,115.90,113.30,466.30,41277.00,105.20,14157.00,7570.90,6253.10,16169.10,9275.90,6198.80,1705.10,-54.40,288.70,,8781.60,109.50,,6495.70,111.70,7448.50,115.30,13944.20,113.70,4820.00,6.20,17290.00,111.50
2009-12-31,2009,101.40,108.90,105.50,109.70,111.60,108.80,297.20,38807.00,92.20,16048.30,9660.10,6255.70,13599.70,7337.80,5926.60,-2322.30,-329.10,183.90,,7976.00,86.50,,7097.10,98.10,7502.10,91.80,14599.20,94.90,4344.00,8.20,18638.00,96.50
2010-12-31,2010,88.70,108.30,113.70,105.00,108.10,108.80,392.70,46308.00,104.50,17616.70,10117.50,6636.90,16031.90,8305.40,6537.30,-1812.00,-99.60,245.70,,9152.10,106.30,,8002.20,105.10,8509.80,108.00,16512.00,106.50,4645.00,7.30,20952.00,105.20
2011-12-31,2011,123.00,108.40,103.20,106.70,108.70,106.10,515.40,60283.00,104.30,19994.60,10925.60,7679.10,20855.40,11367.70,7644.20,442.00,-34.90,318.60,,11035.70,110.80,,9104.30,103.40,10000.00,110.80,19104.30,107.10,4799.00,6.50,23369.00,102.80
