,year,CPI_NONFOOD_rog,INDPRO_yoy,PROFIT_MINING_mln_rub
1999-12-31,1999,139.2,,
2000-12-31,2000,118.5,,
2001-12-31,2001,112.7,,
2002-12-31,2002,110.9,,
2003-12-31,2003,109.2,,
2004-12-31,2004,107.4,,
2005-12-31,2005,106.4,,
2006-12-31,2006,106.0,,
2007-12-31,2007,106.5,,
2008-12-31,2008,108.0,,
2009-12-31,2009,109.7,,
2010-12-31,2010,105.0,,
2011-12-31,2011,106.7,,
2012-12-31,2012,105.2,,
2013-12-31,2013,104.5,,
2014-12-31,2014,108.1,,
2015-12-31,2015,113.7,99.2,
2016-12-31,2016,106.5,102.2,
2017-12-31,2017,102.8,102.1,2595632.0
