,year,AGROPROD_yoy,CPI_ALCOHOL_rog,CPI_FOOD_rog,CPI_NONFOOD_rog,CPI_SERVICES_rog,CPI_rog,DISPOSABLE_INCOME_yoy,DWELL_mln_m2,EXPORT_GOODS_bln_usd,FXEUR_rub,FXUSD_rub,GDP_bln_rub,GDP_yoy,IMPORT_GOODS_bln_usd,INDPRO_yoy,PPI_rog,PROFIT_MINING_mln_rub,TRANSPORT_FREIGHT_bln_tkm,UNEMPL_mln,UNEMPL_yoy,WAGE_NOMINAL_rub,WAGE_REAL_yoy
1999-12-31,1999,103.8,143.2,135.0,139.2,134.0,136.5,87.7,32.0,75.6,27.23,27.0,4823.0,106.4,39.5,,,,3372.0,9.4,116.0,1523.0,78.0
2000-12-31,2000,106.2,125.0,117.1,118.5,133.7,120.2,112.0,30.3,105.0,26.14,28.16,7306.0,110.0,44.9,,,,3542.0,7.7,82.0,2223.0,120.9
2001-12-31,2001,106.9,112.6,117.8,112.7,136.9,118.6,108.7,31.7,101.9,26.49,30.14,8944.0,105.1,53.8,,,,3651.0,6.4,83.2,3240.0,119.9
2002-12-31,2002,100.9,108.9,111.3,110.9,136.2,115.1,111.1,33.8,107.3,33.11,31.78,10831.0,104.7,61.0,,,,3868.0,5.8,89.2,4360.0,116.2
2003-12-31,2003,99.9,109.9,110.2,109.2,122.3,112.0,115.0,36.4,135.9,36.82,29.45,13208.0,107.3,76.1,,,,4171.0,5.9,104.0,5499.0,110.9
2004-12-31,2004,102.4,108.7,113.0,107.4,117.7,111.7,110.4,41.0,183.2,37.81,27.75,17027.0,107.2,97.4,,,,4441.0,5.6,94.8,6740.0,110.6
2005-12-31,2005,101.6,107.6,109.9,106.4,121.0,110.9,112.4,43.6,240.0,34.19,28.78,21610.0,106.4,123.8,,,,4550.0,5.3,93.3,8555.0,112.6
2006-12-31,2006,103.0,110.1,108.4,106.0,113.9,109.0,113.5,50.6,297.5,34.7,26.33,26917.0,108.2,163.2,,,,4675.0,5.2,99.7,10634.0,113.3
2007-12-31,2007,103.3,107.7,117.1,106.5,113.3,111.9,112.1,61.2,346.5,35.93,24.55,33248.0,108.5,223.1,,,,4788.0,4.5,86.5,13593.0,117.2
2008-12-31,2008,110.8,110.9,117.6,108.0,115.9,113.3,102.4,64.1,466.3,41.44,29.38,41277.0,105.2,288.7,,,,4820.0,4.7,104.0,17290.0,111.5
2009-12-31,2009,101.4,108.9,105.5,109.7,111.6,108.8,103.0,59.9,297.2,43.39,30.24,38807.0,92.2,183.9,,,,4344.0,6.2,132.4,18638.0,96.5
2010-12-31,2010,88.7,108.3,113.7,105.0,108.1,108.8,105.9,58.4,392.7,40.33,30.48,46308.0,104.5,245.7,,,,4645.0,5.5,88.8,20952.0,105.2
2011-12-31,2011,123.0,108.4,103.2,106.7,108.7,106.1,100.5,62.3,515.4,41.67,32.2,60283.0,104.3,318.6,,,,4799.0,4.9,88.8,23369.0,102.8
2012-12-31,2012,95.2,112.1,106.7,105.2,107.3,106.6,104.6,65.7,527.4,40.23,30.37,68164.0,103.7,335.8,,,,4934.0,4.1,83.9,26629.0,108.4
2013-12-31,2013,105.8,114.6,106.1,104.5,108.0,106.5,104.0,70.5,521.8,44.97,32.73,73134.0,101.8,341.3,,,,4958.0,4.1,100.2,29792.0,104.8
2014-12-31,2014,103.5,113.7,115.7,108.1,110.5,111.4,99.3,84.2,496.8,68.34,56.26,79200.0,100.7,307.9,,,,4955.0,3.9,94.0,32495.0,101.2
2015-12-31,2015,102.6,110.7,114.5,113.7,110.2,112.9,96.8,85.3,341.4,79.7,72.88,83387.0,97.5,193.0,99.2,,,4981.0,4.3,107.4,34030.0,91.0
2016-12-31,2016,104.8,106.4,104.3,106.5,104.9,105.4,94.2,80.2,281.7,63.81,60.66,86149.0,99.8,191.5,102.2,107.5,,5076.0,4.2,99.5,36709.0,100.8
2017-12-31,2017,102.4,102.9,100.8,102.8,104.4,102.5,98.3,79.2,353.5,68.87,57.6,92037.0,101.5,238.1,102.1,108.4,2595632.0,5362.0,4.0,93.5,39167.0,102.9
