,year,month,CPI_NONFOOD_rog,INDPRO_rog,INDPRO_yoy,INDPRO_ytd,PROFIT_MINING_mln_rub
1999-01-31,1999,1,106.2,,,,
1999-02-28,1999,2,104.0,,,,
1999-03-31,1999,3,103.2,,,,
1999-04-30,1999,4,104.0,,,,
1999-05-31,1999,5,102.7,,,,
1999-06-30,1999,6,101.6,,,,
1999-07-31,1999,7,101.9,,,,
1999-08-31,1999,8,102.4,,,,
1999-09-30,1999,9,102.7,,,,
1999-10-31,1999,10,102.2,,,,
1999-11-30,1999,11,101.5,,,,
1999-12-31,1999,12,101.1,,,,
2000-01-31,2000,1,102.2,,,,
2000-02-29,2000,2,101.3,,,,
2000-03-31,2000,3,101.4,,,,
2000-04-30,2000,4,101.5,,,,
2000-05-31,2000,5,101.1,,,,
2000-06-30,2000,6,100.8,,,,
2000-07-31,2000,7,100.8,,,,
2000-08-31,2000,8,101.4,,,,
2000-09-30,2000,9,102.1,,,,
2000-10-31,2000,10,101.9,,,,
2000-11-30,2000,11,101.5,,,,
2000-12-31,2000,12,101.2,,,,
2001-01-31,2001,1,101.4,,,,
2001-02-28,2001,2,101.3,,,,
2001-03-31,2001,3,101.3,,,,
2001-04-30,2001,4,100.9,,,,
2001-05-31,2001,5,100.9,,,,
2001-06-30,2001,6,100.6,,,,
2001-07-31,2001,7,100.5,,,,
2001-08-31,2001,8,100.8,,,,
2001-09-30,2001,9,101.2,,,,
2001-10-31,2001,10,101.3,,,,
2001-11-30,2001,11,101.1,,,,
2001-12-31,2001,12,100.9,,,,
2002-01-31,2002,1,101.2,,,,
2002-02-28,2002,2,100.8,,,,
2002-03-31,2002,3,100.7,,,,
2002-04-30,2002,4,100.8,,,,
2002-05-31,2002,5,101.2,,,,
2002-06-30,2002,6,101.1,,,,
2002-07-31,2002,7,100.6,,,,
2002-08-31,2002,8,100.7,,,,
2002-09-30,2002,9,100.9,,,,
2002-10-31,2002,10,100.9,,,,
2002-11-30,2002,11,100.9,,,,
2002-12-31,2002,12,100.7,,,,
2003-01-31,2003,1,101.1,,,,
2003-02-28,2003,2,100.9,,,,
2003-03-31,2003,3,100.8,,,,
2003-04-30,2003,4,100.6,,,,
2003-05-31,2003,5,100.6,,,,
2003-06-30,2003,6,100.5,,,,
2003-07-31,2003,7,100.5,,,,
2003-08-31,2003,8,100.6,,,,
2003-09-30,2003,9,100.9,,,,
2003-10-31,2003,10,101.0,,,,
2003-11-30,2003,11,100.8,,,,
2003-12-31,2003,12,100.6,,,,
2004-01-31,2004,1,100.5,,,,
2004-02-29,2004,2,100.4,,,,
2004-03-31,2004,3,100.4,,,,
2004-04-30,2004,4,100.6,,,,
2004-05-31,2004,5,100.8,,,,
2004-06-30,2004,6,100.7,,,,
2004-07-31,2004,7,100.6,,,,
2004-08-31,2004,8,100.5,,,,
2004-09-30,2004,9,100.9,,,,
2004-10-31,2004,10,100.7,,,,
2004-11-30,2004,11,100.7,,,,
2004-12-31,2004,12,100.4,,,,
