,year,qtr,CPI_NONFOOD_rog,INDPRO_rog,INDPRO_yoy
1999-03-31,1999,1,114.0,,
1999-06-30,1999,2,108.6,,
1999-09-30,1999,3,107.2,,
1999-12-31,1999,4,104.9,,
2000-03-31,2000,1,105.0,,
2000-06-30,2000,2,103.5,,
2000-09-30,2000,3,104.3,,
2000-12-31,2000,4,104.6,,
2001-03-31,2001,1,104.0,,
2001-06-30,2001,2,102.4,,
2001-09-30,2001,3,102.5,,
2001-12-31,2001,4,103.3,,
2002-03-31,2002,1,102.7,,
2002-06-30,2002,2,103.1,,
2002-09-30,2002,3,102.1,,
2002-12-31,2002,4,102.5,,
2003-03-31,2003,1,102.8,,
2003-06-30,2003,2,101.8,,
2003-09-30,2003,3,101.9,,
2003-12-31,2003,4,102.4,,
2004-03-31,2004,1,101.4,,
2004-06-30,2004,2,102.0,,
2004-09-30,2004,3,102.0,,
2004-12-31,2004,4,101.8,,
2005-03-31,2005,1,101.1,,
2005-06-30,2005,2,101.3,,
2005-09-30,2005,3,102.1,,
2005-12-31,2005,4,101.8,,
2006-03-31,2006,1,101.3,,
2006-06-30,2006,2,101.0,,
2006-09-30,2006,3,101.9,,
2006-12-31,2006,4,101.6,,
2007-03-31,2007,1,101.1,,
2007-06-30,2007,2,101.1,,
2007-09-30,2007,3,101.8,,
2007-12-31,2007,4,102.5,,
2008-03-31,2008,1,102.0,,
2008-06-30,2008,2,102.4,,
2008-09-30,2008,3,101.9,,
2008-12-31,2008,4,101.4,,
2009-03-31,2009,1,103.8,,
2009-06-30,2009,2,102.4,,
2009-09-30,2009,3,101.9,,
2009-12-31,2009,4,101.2,,
2010-03-31,2010,1,100.9,,
2010-06-30,2010,2,101.0,,
2010-09-30,2010,3,101.2,,
2010-12-31,2010,4,101.8,,
2011-03-31,2011,1,101.7,,
2011-06-30,2011,2,101.7,,
2011-09-30,2011,3,101.5,,
2011-12-31,2011,4,101.6,,
2012-03-31,2012,1,101.2,,
2012-06-30,2012,2,101.0,,
2012-09-30,2012,3,101.4,,
2012-12-31,2012,4,101.4,,
2013-03-31,2013,1,101.3,,
2013-06-30,2013,2,100.8,,
2013-09-30,2013,3,101.2,,
2013-12-31,2013,4,101.1,,
2014-03-31,2014,1,101.4,,
2014-06-30,2014,2,101.5,,
2014-09-30,2014,3,101.4,,
2014-12-31,2014,4,103.6,,
2015-03-31,2015,1,106.8,82.8,99.9
2015-06-30,2015,2,101.8,102.6,98.3
2015-09-30,2015,3,102.3,103.9,99.5
2015-12-31,2015,4,102.2,112.3,99.1
2016-03-31,2016,1,102.3,83.9,100.4
2016-06-30,2016,2,101.5,103.4,101.1
2016-09-30,2016,3,101.4,105.0,102.3
2016-12-31,2016,4,101.3,115.1,105.2
2017-03-31,2017,1,100.9,82.4,102.9
2017-06-30,2017,2,100.4,104.9,104.5
2017-09-30,2017,3,100.5,103.1,102.5
2017-12-31,2017,4,100.9,111.0,98.3
2018-03-31,2018,1,100.6,85.6,102.8
2018-06-30,2018,2,101.7,105.4,103.2
