,year,qtr,AGROPROD_yoy,CPI_ALCOHOL_rog,CPI_FOOD_rog,CPI_NONFOOD_rog,CPI_SERVICES_rog,CPI_rog,EXPORT_GOODS_bln_usd,GDP_bln_rub,GDP_yoy,GOV_EXPENSE_CONSOLIDATED_bln_rub,GOV_EXPENSE_FEDERAL_bln_rub,GOV_EXPENSE_SUBFEDERAL_bln_rub,GOV_REVENUE_CONSOLIDATED_bln_rub,GOV_REVENUE_FEDERAL_bln_rub,GOV_REVENUE_SUBFEDERAL_bln_rub,GOV_SURPLUS_FEDERAL_bln_rub,GOV_SURPLUS_SUBFEDERAL_bln_rub,IMPORT_GOODS_bln_usd,INDPRO_rog,INDPRO_yoy,INVESTMENT_bln_rub,INVESTMENT_rog,INVESTMENT_yoy,PPI_rog,RETAIL_SALES_FOOD_bln_rub,RETAIL_SALES_FOOD_rog,RETAIL_SALES_FOOD_yoy,RETAIL_SALES_NONFOOD_bln_rub,RETAIL_SALES_NONFOOD_rog,RETAIL_SALES_NONFOOD_yoy,RETAIL_SALES_bln_rub,RETAIL_SALES_rog,RETAIL_SALES_yoy,TRANSPORT_FREIGHT_bln_tkm,UNEMPL_pct,WAGE_NOMINAL_rub,WAGE_REAL_rog,WAGE_REAL_yoy
1999-03-31,1999,1,97.20,118.20,118.40,114.00,109.50,116.00,15.30,901.00,98.10,189.00,108.30,91.50,171.90,89.10,93.60,-19.20,2.10,9.10,,,96.80,,93.80,,186.80,85.00,92.70,192.20,90.70,84.30,379.00,88.00,88.10,821.00,14.30,1248.00,80.90,60.70
1999-06-30,1999,2,99.90,106.80,106.40,108.60,109.00,107.30,17.10,1102.00,103.10,297.80,163.80,148.50,276.70,137.50,153.70,-26.30,5.20,10.10,,,131.10,,99.20,,204.30,101.40,91.60,212.20,100.20,88.50,416.50,100.80,90.00,831.00,13.00,1511.00,111.50,65.10
1999-09-30,1999,3,105.70,106.00,104.30,107.20,107.20,105.60,18.90,1373.00,111.40,309.00,162.10,160.60,310.70,160.70,163.70,-1.40,3.10,9.50,,,185.60,,105.00,,222.60,103.10,89.20,242.00,107.00,91.30,464.60,105.10,90.30,833.00,12.30,1642.00,102.40,76.40
1999-12-31,1999,4,107.00,107.10,102.80,104.90,104.70,103.90,24.30,1447.00,112.00,462.20,232.70,253.20,454.30,228.20,249.80,-4.50,-3.40,10.80,,,256.90,,117.40,,252.40,110.30,98.00,284.90,110.80,107.80,537.30,110.60,103.10,887.00,12.50,1927.00,112.90,104.70
2000-03-31,2000,1,103.90,114.30,101.40,105.00,108.00,104.10,23.90,1527.00,111.40,330.20,191.50,154.70,366.50,221.80,160.70,30.30,6.00,10.00,,,165.80,,113.50,,242.60,92.60,106.90,275.10,92.10,109.50,517.70,92.40,108.20,886.00,12.10,1899.00,94.40,125.30
2000-06-30,2000,2,101.60,103.40,106.10,103.50,106.60,105.30,25.50,1697.00,110.20,430.70,213.90,248.00,521.30,285.90,266.60,72.00,18.60,10.40,,,236.00,,119.60,,252.50,101.00,106.50,290.30,101.50,110.90,542.80,101.30,108.70,867.00,10.40,2148.00,109.10,122.00
2000-09-30,2000,3,110.00,103.30,102.60,104.30,109.80,104.10,26.60,2038.00,110.50,443.90,226.80,239.60,508.10,275.50,255.10,48.70,15.50,11.10,,,330.20,,119.70,,276.00,103.90,107.30,322.40,107.40,111.30,598.40,105.80,109.40,868.00,9.90,2336.00,103.40,124.70
2000-12-31,2000,4,102.40,102.30,106.10,104.60,105.70,105.40,29.10,2044.00,108.20,755.30,397.00,389.80,701.80,348.90,383.40,-48.10,-6.30,13.40,,,433.20,,116.10,,322.10,111.80,108.80,371.30,109.40,110.00,693.40,110.50,109.40,921.00,9.80,2652.00,108.10,117.80
2001-03-31,2001,1,101.50,103.30,107.90,104.00,112.90,107.10,25.60,1901.00,104.70,445.70,268.80,225.20,515.60,318.00,245.90,49.20,20.70,11.30,,,230.30,,107.00,,309.80,89.90,105.50,355.40,92.10,109.90,665.20,91.10,107.90,893.00,9.80,2781.00,98.30,120.00
2001-06-30,2001,2,103.00,102.50,106.80,102.40,107.30,105.30,26.20,2105.00,105.00,580.80,310.00,332.20,689.90,395.10,356.20,85.10,24.00,13.60,,,318.80,,109.50,,337.40,102.60,107.10,392.20,107.20,116.10,729.60,105.00,111.90,904.00,8.70,3082.00,104.90,116.20
2001-09-30,2001,3,111.00,103.00,97.90,102.50,107.90,101.10,25.60,2488.00,106.00,629.20,350.80,338.80,676.00,395.30,341.10,44.50,2.30,13.20,,,421.10,,109.90,,361.70,106.20,109.40,421.60,105.30,113.70,783.30,105.70,111.70,902.00,8.50,3393.00,107.60,122.30
2001-12-31,2001,4,103.50,103.20,104.50,103.30,104.80,104.10,24.60,2450.00,104.50,763.70,392.30,434.00,802.20,485.60,379.20,93.30,-54.80,15.60,,,534.50,,111.90,,407.90,110.50,108.00,484.00,111.00,115.20,891.90,110.80,111.90,952.00,8.70,3872.00,110.80,123.40
2002-03-31,2002,1,104.60,103.30,104.30,102.70,114.50,105.40,21.90,2262.00,103.80,586.80,364.40,289.70,709.50,472.40,304.40,108.00,14.70,12.30,,,270.10,,101.30,,393.70,91.60,110.20,434.30,87.20,109.10,828.00,89.20,109.60,937.00,8.40,3836.00,93.70,117.20
2002-06-30,2002,2,102.50,101.90,103.20,103.10,105.10,103.40,26.30,2529.00,104.40,805.70,463.90,427.90,867.60,518.70,435.00,54.80,7.10,14.80,,,376.40,,103.50,,420.30,103.20,111.00,463.90,103.60,105.50,884.20,103.40,108.00,951.00,7.70,4257.00,107.10,119.50
2002-09-30,2002,3,97.10,101.60,98.20,102.10,107.30,101.20,28.90,3013.00,104.40,847.00,503.30,418.30,926.70,586.90,414.40,83.60,-3.90,15.70,,,494.50,,102.70,,443.60,105.50,110.20,519.90,109.30,109.60,963.50,107.50,109.90,965.00,7.40,4547.00,104.90,117.00
2002-12-31,2002,4,107.20,101.80,105.30,102.50,105.50,104.30,30.20,3027.00,106.20,1182.80,722.60,551.30,1015.40,626.70,479.80,-95.90,-71.50,18.10,,,621.40,,103.10,,496.30,109.70,109.20,593.40,111.40,109.90,1089.70,110.60,109.60,1015.00,8.60,5018.00,107.20,112.90
2003-03-31,2003,1,99.40,104.00,104.90,102.80,110.60,105.20,31.10,2851.00,107.50,770.00,491.60,355.10,875.50,580.90,371.30,89.30,16.20,16.00,,,330.00,,110.10,,469.70,89.90,107.30,544.20,89.10,112.20,1013.90,89.40,109.90,1009.00,9.00,4800.00,90.70,109.70
2003-06-30,2003,2,97.10,101.70,102.60,101.80,104.50,102.60,31.70,3102.00,107.90,962.10,568.10,499.60,1070.90,663.00,513.50,94.90,13.90,18.20,,,470.60,,113.10,,503.00,104.50,108.60,568.90,102.30,110.90,1071.90,103.30,109.80,1024.00,8.20,5296.00,107.00,109.40
2003-09-30,2003,3,98.30,101.60,98.40,101.90,103.60,100.60,34.90,3600.00,106.10,1005.70,597.70,495.20,1052.10,652.40,486.90,54.70,-8.30,19.60,,,607.50,,111.80,,527.20,104.10,107.30,615.30,106.10,107.70,1142.50,105.20,107.50,1039.00,7.80,5549.00,103.40,108.40
2003-12-31,2003,4,106.00,102.40,104.10,102.40,102.10,103.10,38.20,3655.00,107.60,1227.10,701.20,634.40,1140.20,689.90,558.80,-11.30,-75.60,22.30,,,778.30,,113.70,,591.80,109.70,107.30,709.60,112.30,108.70,1301.40,111.10,108.10,1099.00,7.90,6401.00,112.90,113.80
2004-03-31,2004,1,99.00,103.50,103.90,101.40,106.40,103.50,37.30,3516.00,107.20,889.60,553.90,412.80,1045.10,688.60,433.50,134.70,20.70,19.90,,,442.20,55.50,118.40,,573.70,93.00,111.20,663.60,91.90,112.20,1237.30,92.40,111.70,1086.00,8.80,6173.00,92.90,115.00
2004-06-30,2004,2,99.60,101.90,102.10,102.00,104.30,102.50,43.20,3972.00,108.00,1122.80,630.70,589.10,1379.30,850.10,626.30,219.40,37.20,23.00,,,626.30,137.20,116.90,,614.50,104.50,111.20,707.70,104.40,114.40,1322.20,104.50,112.90,1099.00,7.30,6650.00,105.00,113.50
2004-09-30,2004,3,104.40,101.30,101.10,102.00,103.00,101.80,48.50,4594.00,107.30,1132.90,652.40,568.40,1431.20,886.30,632.80,233.90,64.40,25.00,,,783.30,120.60,111.80,,650.40,104.10,111.00,780.10,107.50,116.00,1430.50,106.00,113.60,1108.00,7.00,6930.00,102.00,111.40
2004-12-31,2004,4,102.20,101.80,105.30,101.80,103.00,103.40,54.30,4945.00,106.20,1524.40,861.90,802.70,1574.30,1003.90,710.60,142.00,-92.10,29.50,,,1013.20,124.00,111.20,,741.70,110.70,112.00,910.80,113.60,117.20,1652.50,112.30,114.90,1148.00,7.80,7582.00,106.50,105.20
2005-03-31,2005,1,99.60,102.60,105.40,101.10,112.60,105.30,49.10,4459.00,105.60,1060.90,671.10,513.30,1716.30,1196.40,643.40,525.30,130.10,25.30,,,540.50,51.90,106.30,,696.30,90.00,108.40,814.90,88.30,112.60,1511.20,89.00,110.50,1113.00,7.80,7638.00,95.80,108.40
2005-06-30,2005,2,100.40,101.70,103.90,101.30,102.60,102.60,58.70,5078.00,106.00,1382.20,773.10,726.80,1797.50,1190.00,725.20,416.90,-1.60,28.90,,,776.30,139.90,108.40,,777.20,106.80,110.70,897.70,108.20,116.70,1674.90,107.50,113.80,1130.00,7.00,8234.00,104.60,107.60
2005-09-30,2005,3,103.00,101.50,98.00,102.10,102.60,100.60,64.00,5845.00,106.00,1655.10,1075.50,710.10,1910.30,1295.30,745.40,219.90,35.30,32.10,,,993.60,123.90,111.40,,817.90,103.80,110.40,978.90,106.80,115.90,1796.80,105.40,113.30,1125.00,6.80,8674.00,104.10,110.00
2005-12-31,2005,4,100.60,101.60,102.50,101.80,102.20,102.10,68.30,6228.00,107.80,2722.40,994.60,991.00,3155.50,1445.50,885.90,450.80,-105.10,37.60,,,1300.70,127.20,114.30,,926.20,112.10,111.90,1132.40,112.70,115.00,2058.60,112.40,113.50,1182.00,7.00,9651.00,109.70,113.40
2006-03-31,2006,1,101.50,102.20,107.10,101.30,108.00,105.00,66.40,5793.00,107.30,1274.20,823.20,566.70,1989.50,1399.10,706.00,575.90,139.40,30.70,,,658.40,49.60,108.80,,856.20,87.80,109.10,1001.00,87.30,113.60,1857.20,87.50,111.40,1135.00,7.60,9397.00,93.10,110.30
2006-06-30,2006,2,101.20,101.80,100.60,101.00,101.90,101.10,75.60,6368.00,108.10,2707.60,1031.50,860.00,3395.00,1539.00,965.60,507.50,105.50,38.80,,,1017.60,151.40,117.70,,944.80,107.90,110.20,1123.30,111.20,116.80,2068.10,109.60,113.60,1163.00,7.30,10401.00,108.70,114.30
2006-09-30,2006,3,100.80,103.20,99.00,101.90,101.80,101.00,78.70,7276.00,108.20,1499.40,1011.80,855.40,2227.70,1622.90,946.50,611.20,91.00,42.10,,,1287.30,122.10,116.10,,1004.60,105.50,112.00,1232.70,108.10,118.20,2237.30,107.00,115.30,1175.00,6.60,10949.00,104.30,114.30
2006-12-31,2006,4,109.20,102.60,101.70,101.60,101.60,101.70,76.80,7480.00,108.90,2894.00,1418.30,1375.60,3013.60,1717.90,1179.20,299.50,-196.30,51.60,,,1766.70,131.80,120.30,,1141.80,112.70,112.50,1407.50,112.40,117.90,2549.30,112.50,115.30,1202.00,6.70,12203.00,110.30,114.80
2007-03-31,2007,1,103.40,102.00,102.70,101.10,108.00,103.40,70.20,6780.00,108.10,1754.70,945.60,720.40,2530.30,1421.90,940.50,476.30,220.10,42.60,,,897.60,49.40,120.30,,1027.90,87.70,112.40,1229.90,86.50,116.90,2257.80,87.00,114.80,1173.00,6.90,11876.00,94.10,118.20
